id,name,brewery_type
174,Peoria Artisan Brewery,brewpub
175,Peoria Artisan Brewery,brewpub
176,Pinetop Brewing Company,brewpub
177,Prescott Brewing Co,brewpub
178,Prescott Brewing Co - Production Facility,micro
179,Prison Hill Brewing Co,brewpub
180,Public Brewhouse,micro
181,Pueblo Vida Brewing Co,micro
182,Richter Aleworks,micro
183,Rickety Cricket Brewing,brewpub
184,Roadrunner Abbey Brewing,planning
185,Rock Bottom Brewery - Arrowhead,brewpub
186,Saddle Mountain Brewing Company,brewpub
187,SanTan Brewing Co,regional
188,SanTan Brewing Co,planning
189,SanTan Brewing Co - Uptown Chandler,micro
190,Science,planning
191,Scottsdale Beer Company,brewpub
192,Sedona Beer Company,planning
193,Sentinel Peak Brewing Company,brewpub
194,Sleepy Dog Brewing Co,micro
195,Sonoran Brewing,contract
196,State 48 Barrel and Lager House,planning
197,State 48 Brewery,planning
198,State 48 Brewery,brewpub
199,Sun Up Brewing Co.,brewpub
200,Sun Up Brewing Company 330,planning
201,Ten Fifty Five Brewing,micro
202,THAT Brewery - Cottonwood,micro
203,THAT Brewery & Pub - Pine,brewpub
204,The Address Brewing / 1702 Beer & Pizza,micro
205,The Perch Pub & Brewery,brewpub
206,The Phoenix Ale Brewery,micro
207,The Porch Brewing,planning
208,The Shop Beer Co.,micro
209,Thunder Canyon Brewery,brewpub
210,Tombstone Brewing Company,micro
211,Trail Crest Brewing Company,brewpub
212,Two Brothers Scottsdale Tap House and Brewery,brewpub
213,Uncle Bear's Brewery,brewpub
214,Verde Brewing Company,micro
215,Walter Station Brewery,planning
216,Wanderlust Brewing Company,micro
217,Whirling Skirmish Brewing Company,planning
218,Wicked Monkey Brewing Co,planning
219,Wren House Brewing Company,micro
220,Apple Blossom Brewing Co,brewpub
221,Bentonville Brewing Co,micro
222,Bike Rack Brewing Co,micro
223,Bike Rack Brewing Co - 8th Street Market,micro
224,Blue Canoe Brewing Co,micro
225,Brick Oven Pizza Co / Brick & Forge Brewing,brewpub
226,Brick Oven Pizza Co / Brick & Forge Brewing,brewpub
227,Bubba Brew's Brewing Company,micro
228,Buffalo Brewing Company At The Water Buffalo,micro
229,Columbus House Brewery,micro
230,Core Brewing - Hot Springs,brewpub
231,Core Brewing - SoMa,brewpub
232,Core Brewing & Distilling Co,micro
233,Crisis Brewing LLC,micro
234,Damgoode Pies,brewpub
235,Diamond Bear Brewing Co,micro
236,Fayetteville Brewing Company,planning
237,Flyway Brewing Co,brewpub
238,Fort Smith Brewing Company,micro
239,Fossil Cove Brewing Co,brewpub
240,Foster's Pint & Plate,brewpub
241,Gotahold Brewing Company,planning
242,Gravity Brew Works,micro
243,Hawk Moth Brewing Co,planning
244,Hog Haus Brewing Co,brewpub
245,JJs Brewing Company,brewpub
246,Lost 40 brewing,micro
247,Lost Forty Brewing,micro
248,New Province Brewing Company,micro
249,Norfork Brewing Company,micro
250,Ozark Beer Company,micro
251,Prestonrose Farm and Brewing Co.,brewpub
252,Puritan Brew Company,contract
253,Rapp's Barren Brewing Company,micro
254,Rebel Kettle Brewing Company,brewpub
255,Refined Ale Brewery,micro
256,Rendezvous Junction Brewing Company,micro
257,Saddlebock Brewery,micro
258,Slate Rock Brewing Company,micro
259,SQZBX Brewery,brewpub
260,Stone's Throw Brewing,brewpub
261,Superior Bathhouse Brewery,brewpub
262,Tiny Tim's Pizza /West Mountain Brewery,brewpub
263,Vino's Pizza Pub Brewery,brewpub
264,Whistleing Springs Brewing Company / Dark Hills Brewery,planning
265,10 Barrel Brewing Co,large
266,101 North Brewing Company,micro
267,14 Cannons Brewing Company,micro
268,1850 Brewing Company,micro
269,2 Tread Brewing Co,brewpub
270,21st Amendment Brewery,regional
271,21st Amendment Brewery Cafe,brewpub
272,2Kids Brewing Company,micro
273,3 Disciples Brewing,micro
274,3 Iron Brewing Company,micro
275,32 North Brewing Co,micro
276,411 Broadway Ales,planning
277,47 Hills Brewing Co,brewpub
278,5150 Brewing At The Brass Tap Rocklin,micro
279,559 Local Brewing,micro
280,6th and La Brea,brewpub
281,7 Sisters Brewing Co,brewpub
282,8 Bit Brewing Company,brewpub
283,8one8 Brewing Company,micro
284,927 Beer Company,micro
285,Abigaile,brewpub
286,Abnormal Beer Company,micro
287,Absolution Brewing Co,micro
288,Absolution By the Sea,brewpub
289,Acoustic Ales Brewing Experiment,micro
290,Adobe Creek Brewing Company,micro
291,Aftershock Brewing Co,micro
292,Alameda Island Brewing Company,micro
293,Alaro Craft Brewery,brewpub
294,Ale House Brewing Co,micro
295,Ale Industries,micro
296,AleSmith Brewing Co,regional
297,Align Brewing Co,micro
298,All-American Ale Works,micro
299,Almanac Beer Company,micro
300,Alosta Brewing Co,micro
301,Alpenglow Beer Co,contract
302,Alpha Acid Brewing Co,micro
303,Alpine Beer Company,brewpub
304,Alta Brewing Company,micro
305,Altamont Beer Works,micro
306,Alvarado Street Brewery,micro
307,Alvarado Street Brewery & Grill,brewpub
308,Amador Brewing Company,micro
309,Ambitious Ales,planning
310,Amplified Ale Works,brewpub
311,Amplified Ale Works Miramar Studio,brewpub
312,Anacapa Brewing Co,brewpub
313,Anaheim Brewery,micro
314,Anchor Brewing Co,large
315,Anderson Valley Brewing Co,regional
316,Angel City Brewery,micro
317,Angry Horse Brewing,micro
318,Anheuser-Busch Inc â Fairfield,large
319,Anheuser-Busch Inc - Los Angeles,large
320,Arcana Brewing Company,micro
321,Archaic Craft Brewery At Centro,brewpub
322,Armistice Brewing Company,micro
323,Armstrong Brewing Co,micro
324,Arrow Lodge Brewing,micro
325,Artifex Brewing Company,micro
326,Arts District Brewing Company,brewpub
