id,name,brewery_type
1712,Powder Hollow Brewery,micro
1713,Relic Brewing,micro
1714,Reverie Brewing Company,planning
1715,Shebeen Brewing Company,micro
1716,Steady Habit Brewing Company,micro
1717,Still HIll Brewery LLC,micro
1718,Stony Creek Brewery,regional
1719,Stony Creek Brewery At Foxwoods Resort Casino,planning
1720,Stubborn Beauty Brewing,micro
1721,Taylor Brooke Brewery,planning
1722,The Crossings Restaurant and Brewpub,brewpub
1723,The Redding Beer Company,micro
1724,These Guys Brewing Company,brewpub
1725,Thimble Island Brewery,micro
1726,Thomas Hooker Brewing Co LLC,micro
1727,Tox Brewing Company,planning
1728,Two Roads Brewing Co,regional
1729,Unleashed Brewing Company,planning
1730,Veracious Brewing Company,micro
1731,Willimantic Brewing Co and Main Street Cafe,brewpub
1732,Witchdoctor Brewing Company,micro
1733,Woodbury Brewing Company,brewpub
1734,16 Mile Brewing Co,micro
1735,38Â°-75Â° Brewing,brewpub
1736,3rd Wave Brewing Co,micro
1737,Argilla Brewing Co @ Pietro's Pizza,brewpub
1738,Bellefonte Brewing Co,micro
1739,Blue Earl Brewing Company,micro
1740,Brewery in Planning - REHOBOTH,planning
1741,Brick Works Brewing and Eats,brewpub
1742,Crooked Hammock Brewery,brewpub
1743,Dew Point Brewing,brewpub
1744,Dewey Beer Co.,brewpub
1745,Dogfish Head Brewings & Eats,brewpub
1746,Dogfish Head Craft Brewery,regional
1747,Fins Big Oyster Brewery,brewpub
1748,First State Brewing Company,planning
1749,Fordham and Old Dominion Brewing Company,large
1750,Iron Hill Brewery & Restaurant - Newark,brewpub
1751,Iron Hill Brewery & Restaurant - Rehoboth Beach,brewpub
1752,Iron Hill Brewery & Restaurant - Wilmington,brewpub
1753,Midnight Oil Brewing,micro
1754,Midnight Oil Brewing Company,micro
1755,Mispillion River Brewing,micro
1756,Pizza By Elizabeths,brewpub
1757,Revelation Craft Brewing Co,micro
1758,Stewart's Brewing Co,brewpub
1759,Stitch House Brewery,brewpub
1760,Twin Lakes Brewing Co,micro
1761,Volunteer Brewing Company,micro
1762,Wilmington Brew Works,planning
1763,3 Stars Brewing Co,micro
1764,AdMerk Corp. Inc.,contract
1765,Artesanales Cervezarte C.A.,micro
1766,Atlas Brew Works,micro
1767,Bardo Brewpub,micro
1768,Bluejacket,brewpub
1769,Brewery in Planning - Washington,planning
1770,Capitol City Brewing Co,contract
1771,City-State Brewing Company,planning
1772,DC Brau Brewing Company,regional
1773,District ChopHouse and Brewery,brewpub
1774,Gordon Biersch Brewery Restaurant - Navy  Yard,brewpub
1775,Gordon Biersch Brewery Restaurant - Washington,brewpub
1776,Handsome Beer Company,contract
1777,Hellbender Brewing Company,micro
1778,National Capital Brewing Company,planning
1779,Red Bear Brewing Co,planning
1780,Right Proper Brewing Company,micro
1781,Right Proper Brewing Company,brewpub
1782,The Public Option,brewpub
1783,26 Degree Brewing Company,micro
1784,3 Daughters Brewing,micro
1785,"3 Keys Brewing Company, LLC",brewpub
1786,3 Sons Brewing Co.,proprietor
1787,3rd Planet Brewing,micro
1788,7venth Sun Brewery,micro
1789,7venth Sun Tampa,micro
1790,81Bay Brewing Company,micro
1791,A Little Madness Brewing Company,planning
1792,Aardwolf Brewing Company,micro
1793,Abbey Brewing Co,contract
1794,Alcatraz Brewing,micro
1795,Alligator Brewing / Tall Paul's Brewhouse,micro
1796,Amelia Island Brewing Company,brewpub
1797,American Icon Brewery,brewpub
1798,Americana Brewery,planning
1799,Ancient City Brewing Co.,micro
1800,"Angry Chair Brewing, LLC.",micro
1801,Anheuser-Busch Inc â Jacksonville,large
1802,Ankrolab Brewing Company,planning
1803,Arkane Aleworks,micro
1804,Atlantic Beach Brewing Company,micro
1805,Backyard Barn Winery and Microbrewery,micro
1806,Bangin' Banjo Brewing Company,micro
1807,Barrel of Monks Brewing,micro
1808,Barrie Brewing Company,planning
1809,Bastet Brewing,planning
1810,Bay Brewing Company,planning
1811,BeachFly Brewing Company,planning
1812,Beachside Brew Pub,micro
1813,Beer Religion,planning
1814,Big Bear Brewing Co,brewpub
1815,Big Blue Brewing,brewpub
1816,Big River Grille & Brewing Works - Disney,brewpub
1817,Big Storm Brewing,micro
1818,Big Storm Brewing,micro
1819,Big Storm Brewing Co.,micro
1820,Big Top Brewing Company,micro
1821,Biscayne Bay Brewing Co,micro
1822,Blackadder Brewing Company,micro
1823,Bob Loblaw Brewing,planning
1824,Bog Brewing Company,micro
1825,Bold City Brewery,micro
1826,Bold City Brewery,micro
1827,Bone Hook Brewing Company,micro
1828,Bone Island Brewing,micro
1829,Bousa Brewing Company,micro
1830,Bowigens Beer Company,micro
1831,Bremen Beer Ventures,planning
1832,Brew Angels LLC,brewpub
1833,Brew Bus Brewing,brewpub
1834,"Brew Hub, LLC",regional
1835,Brew Life Brewing,micro
1836,Brewers Tasting Room,brewpub
1837,Brewery In Planning - Asheville,planning
1838,"Brewery in Planning - Clearwater, FL",planning
1839,"Brewery in Planning - Fort Laurderdale, FL",planning
1840,Brewery in Planning - Gainesville,planning
1841,Brewery in Planning - Niceville,planning
1842,"Brewery in Planning - Sanford, FL",planning
1843,Brewery in Planning - st johns,planning
1844,"Brewery in Planning - St.Augustine, FL",planning
1845,Brewery in Planning - Tampa,planning
1846,Brewery In Planning - V-Twin Brewing,planning
1847,Brewpop Brewery,brewpub
1848,Brighter Day's Brewing Company,planning
1849,Broken Cauldron Taproom and Brewery,micro
1850,Broken Coat Brewing,planning
1851,Buffalo Theory Brewing Co. LLC,planning
1852,Bugnutty Brewing Company,brewpub
1853,Bullfrog Creek Brewing Company,micro
1854,Bury Me Brewing Company,micro
1855,Cafe Karibo,brewpub
1856,Cage Brewing,micro
1857,Caledonia Brewing,micro
1858,Calusa Brewing Company,micro
1859,Castle Church Brewing Community,planning
1860,Cayo Hueso Brewing,planning
1861,Central 28 Beer Company,micro
1862,Cervecentro,planning
1863,Cerveceria Rancho Humo,contract
1864,Cerveza Guajira,planning
1865,Charlie and Jakes Brewery and Grille,brewpub
1866,Cigar City Airport Location,planning
1867,Cigar City Brewing Co,regional
1868,Civil Society Brewing Co,micro
1869,Clermont Brewing Company,planning
1870,CNB Brewpub,planning
1871,Cocoa Beach Brewing Co,brewpub
1872,Concrete Beach Brewery,micro
1873,Copp Brewery & Winery,micro
1874,Copperpoint Brewing Company,micro
1875,Coppertail Brewing,micro
1876,Cotee River Brewing Company,planning
1877,Craft Life Brewing,micro
1878,Crooked Can Brewing Co,micro
1879,Crooked Rooster Brewery LLC.,micro
1880,Crooked Thumb Brewery,micro
1881,Cueni Brewing Co.,micro
1882,Cycle Brewing,micro
1883,Cycle Brewing Production and Warehouse,micro
1884,Cypress and Grove Brewing Company,micro
1885,D. G. Yuengling and Son Inc,regional
1886,"D. MANATEE HOLDINGS, LLC",planning
1887,Dangerous Minds Brewing Co,planning
1888,Darwin Brewing Co,micro
1889,Daytona Beach Brewing Company,micro
1890,De Bine Brewing Company,micro
1891,Dead Lizard Brewing Company,micro
1892,Deadly Sins Brewing,micro
1893,Deep Brewing Company,micro
1894,Dees Brothers Brewery,planning
1895,Department Coffee,contract
1896,Destin Brewery,micro
1897,Deviant Wolfe Brewing,micro
1898,Devour Brewing Co,micro
1899,Dirty Oar Beer Company,micro
1900,"Dissent Craft Brewing Company, LLC",micro
1901,Dixie Grill & Brewery,brewpub
1902,Dog Rose Brewing Company,micro
1903,Due South Brewing Co,micro
1904,Dunedin Brewery & Public House,brewpub
1905,Dunedin Brewery Production Facility,planning
1906,Ellipsis Brewing,micro
1907,Engine 15 Brewing Company,micro
1908,Engine 15 Brewing Company,brewpub
1909,Escape Brewing Company,micro
1910,"Fantasy Brewmasters, LLC",contract
1911,Fat Point Brewing,micro
1912,First Flight Island Restaurant & Brewery,brewpub
1913,First Magnitude Brewing Company,micro
1914,Fishale Taphouse and Grill,brewpub
1915,Florida Beer Co,regional
1916,Florida Keys Brewing Co.,micro
1917,Flying Boat Brewing Company,micro
1918,Fools Fire Brewing Company At Fermentation Lounge,brewpub
1919,Fort Myers Brewing,micro
1920,Four Stacks Brewing,micro
1921,Funky Buddha Brewery,large
1922,Funky Buddha Lounge & Brewery,large
1923,Goat Lips Chew and Brewhouse / Redneck Riviera Brewing,brewpub
1924,Good Liquid Brewing Company,micro
1925,Grasslands Brewing Co,micro
1926,Gravity Brewlab,contract
1927,Grayton Beer Brewpub,brewpub
1928,Grayton Beer Company,micro
1929,Great Chicago Fire Brewery and Tap Room,brewpub
1930,Green Bench Brewing Co,micro
1931,Green Room Brewing,micro
1932,Grindhaus Brew Lab,micro
1933,Grove Roots Brewing,micro
1934,Gulf Coast Brewery LLC,micro
1935,Gulf Stream Brewing,planning
1936,Half Barrel Beer Project,brewpub
1937,Half Wall Brewery,micro
1938,Halpatter Brewing Company,micro
1939,Hell 'n Blazes Brewing Company,micro
1940,Hidden Springs Ale Works,micro
1941,Hollywood Brewing Co,micro
1942,Hollywood Brewing Co,brewpub
1943,Holy Mackerel Small Batch Beers,micro
1944,HopLife Brewing Company,micro
1945,Hourglass Brewing,micro
1946,Hyperion Brewing,micro
1947,IBC Brewery & Tasting Room,micro
1948,Idyll Hounds Brewing Company,micro
1949,In the Loop Brewing,micro
1950,Infinite Ale Works,micro
1951,Infusion Brewing Company of Trinity,micro
1952,Inlet Brewing Co,proprietor
1953,Inner Compass Brewing,micro
1954,Inoculum Ale Works,micro
1955,Intracoastal Brewing Co.,micro
1956,Intuition Ale Works,micro
1957,Intuition Ale Works Production Facility,micro
1958,Invasive Species Brewing,micro
1959,Islamorada Beer Company,micro
1960,Island Coastal Lager,micro
1961,Ivanhoe Park Brewing Company,micro
1962,J Wakefield Brewing,micro
1963,JDub's Brewing Co.,micro
1964,Keen Brewing,planning
1965,Khoffner Brewery LTD,micro
1966,King Fox Brewery,planning
1967,Lagerhaus Brewery & Grill,brewpub
1968,Lake Tribe Brewing,micro
1969,LauderAle,micro
1970,Leaven Brewing Co.,micro
1971,Legacy Ale Works,planning
1972,Legacy Caribbean Craft Brewery,micro
1973,Lincoln's Beard Brewing Co.,micro
1974,Little Giant Brewery,planning
1975,Lost Shirt Brewing Company,micro
1976,M.I.A. Beer Co,micro
1977,Mad Beach Brewing,micro
1978,Main & Six Brewing Company,micro
1979,Marker 48 Brewing LLC,micro
1980,Mash Monkeys Brewing Company,micro
1981,Mastry's Brewing Co,micro
1982,Mathews Brewing Company,micro
1983,McGuire's Irish Pub and Brewery - Destin,brewpub
1984,McGuire's Irish Pub and Brewery - Pensacola,brewpub
1985,Miami Brewing Co,brewpub
1986,Millennial Brewing Company,micro
1987,Mocama Brewing Company,planning
1988,Momentum Brewhouse,micro
1989,Motorworks Brewing,micro
1990,Mount Dora Brewing Co,micro
1991,Mr Dunderbaks Biergarten and Brewery / Dunderbrau Brewing,brewpub
1992,Naples Beach Brewery,micro
1993,Nature Coast Brewing Company,micro
1994,Naughty Monk Brewery L.L.C.,micro
1995,New Smyrna Beach Brewing Co,micro
1996,NightLife Brewing Co,micro
1997,Nivol Brewing,micro
1998,NOBO Brewing Company,micro
1999,Ocean Sun Brewing,micro
2000,Odd Breed Wild Ales,micro
2001,Old Coast Ales,micro
2002,Old Soul Brewing,micro
2003,Ology Brewing Co,micro
2004,Ookapow Brewing Company,micro
2005,Orange Blossom Brewing Company,proprietor
2006,Orange County Brewers,brewpub
2007,Orchid Island Brewery,micro
2008,"Orlando Brewing Partners, Inc.",micro
2009,Ormond Brewing,micro
2010,Overflow Brewing Company,micro
2011,Oviedo Brewing Co,planning
2012,Oyster City Brewing Company,micro
2013,Pair O' Dice Brewing Company,micro
2014,Palm City Brewing,micro
2015,Palm Harbor Brewery,brewpub
2016,Pareidolia Brewing Co.,brewpub
2017,Pensacola Bay Brewery,micro
2018,Perfect Plain Brewing Co.,micro
2019,Persimmon Hollow Brewing,micro
2020,Pesky Pelican Brewpub,brewpub
2021,Pinellas Ale Works,micro
2022,Pinglehead Brewery / Brewer's Pizza,brewpub
2023,Pirate Republic Brewing,brewpub
2024,Playalinda Brewing Company,micro
2025,Playalinda Brewing Company -  Brix Project,brewpub
2026,Point Ybel Brewing Company,micro
2027,Proof Brewing Co,micro
2028,Props Brewery and Grill,brewpub
2029,Props Craft Brewery Taproom,micro
2030,Ragtime Tavern Seafood and Grill,brewpub
2031,Rapp Brewing Company,micro
2032,Red Cypress Brewery,micro
2033,Redlight Redlight Beer Parlour and Brewery,micro
2034,Right Around The Corner,micro
2035,Riptide Brewing Company,micro
2036,River City Brewing Co,brewpub
2037,Rock Bottom Brewery,brewpub
2038,RockPit Brewing,micro
2039,"RoosterBragh Brewing Company, LLC",planning
2040,Royal Palm Brewing Company,brewpub
2041,"Sailfish Brewing Company, llc",micro
2042,Saint Michael's Brewing Company,planning
2043,Saint Somewhere Brewing Co,micro
2044,Saltwater Brewery,micro
2045,Sanford Brewing Company,brewpub
2046,Sarasota Brewing Co,brewpub
2047,Scotty's Bierwerks,micro
2048,Sea Dog Brewing Co - Clearwater,micro
2049,Sea Drift Ales and Lagers,micro
2050,Seven Bridges Grille and Brewery,brewpub
2051,SFLBrewery In Planning,planning
2052,Side Door Brewing Company,micro
2053,Silverking Brewing Company,micro
2054,Six Ten Brewing,micro
2055,Soggy Bottom Brewing Co.,micro
2056,South Cypress Brewing,brewpub
2057,Southern Brewing & Winemaking Brewery,brewpub
2058,Southern Lights Brewing,micro
2059,Southern Swells Brewing Company,micro
2060,Spahr Brewing Company,micro
2061,St. Pete Brewing Company,micro
2062,Stilt House Brewery,micro
2063,Suncreek Brewery,planning
2064,Swamp Head Brewery,micro
2065,Swan Brewing,micro
2066,Sweet Mercy Brewing Co.,planning
2067,Tabula Rasa Brewing,planning
2068,Tampa Bay Brewing Co Brewpub,micro
2069,Tampa Bay Brewing Co Production Brewery,brewpub
2070,Tampa Beer Works,micro
2071,Tarpon River Brewing,micro
2072,Ten 10 Brewing Co,brewpub
2073,Tequesta Brewing Co,micro
2074,The Amelia Tavern,brewpub
2075,The Bear And Peacock,micro
2076,The Florida Brewery,regional
2077,The Half Wall Brewery,brewpub
2078,The Mack House Brewpub,brewpub
2079,The Ravenous Pig / Cask & Larder,brewpub
2080,The Tank Brewing Company,micro
2081,The Wild Rover Brewery,micro
2082,Three Bridges Brewing / Off the Wagon Brewery,brewpub
2083,Titanic Brewing Co,brewpub
2084,Tomoka Brewing Company,brewpub
2085,troubled waters brewing co.,contract
2086,Turn 2 Brewing Company Inc.,planning
2087,Twisted Trunk Brewing Company,micro
2088,Two Frogs Brewing Company,micro
2089,Two Henrys Brewing Company,micro
2090,Ulele Spring Brewery,brewpub
2091,Uncle Ernies Bayfront Grill & Brew House,contract
2092,Unseen Creatures Brewing & Blending,planning
2093,Urban Comfort Restaurant and Brewery,brewpub
2094,Veterans United Craft Brewery,micro
2095,Veza Sur Brewing Co,large
2096,Walking Tree Brewery,micro
2097,Waterfront Brewery LLC,brewpub
2098,West Palm Beach Brewery & Wine Vault,brewpub
2099,Whisper Creek Farm: Kitchen and Brewery,brewpub
2100,Wicked Barley Brewing Co.,brewpub
2101,Wild Hordeum Brewing Co.,planning
2102,Wolf Branch Brewing Co.,micro
2103,Woodwright Brewing Company,micro
2104,WopsHops Brewing Company,brewpub
2105,Wynwood Brewing Company,micro
2106,Ye Olde Brothers Brewery,brewpub
2107,Zephyrhills Brewing Company,proprietor
2108,Zeta Brewing Company,brewpub
2109,Zydeco Brew Werks,brewpub
2110,400 North Brewing,planning
2111,5 Seasons Brewing Co - Prado,brewpub
2112,5 Seasons Brewing Co - Westside,brewpub
2113,6 Bridges Brewing,planning
2114,Abide Brewing Company,micro
2115,Akademia Brewing Company,brewpub
2116,Anheuser-Busch Inc â Cartersville,large
2117,Arches Brewing,micro
2118,BlueTarp Brewing Co,micro
2119,Braselton Brewing Company,planning
2120,Brewery in Planning - Buford,planning
2121,Brewery in Planning - Fayetteville,planning
2122,"Brewery in Planning - Johns Creek, GA",planning
2123,Brewery in Planning - Savannah,planning
2124,Brewery in Planning - Suwanee,planning
2125,Brewery In Planning Suwanee,planning
2126,Buck Bald Brewing Corporation,planning
2127,Burnt Hickory Brewery,micro
2128,Cannon Brewpub,brewpub
2129,Chattabrewchee Southern Brewhouse,micro
2130,Cherokee Brewing + Pizza Company,brewpub
2131,Coastal Empire Beer Co,micro
2132,Creature Comforts Brewing Co.,regional
2133,Creature Comforts Production Facility At Southern Mill,regional
2134,Currahee Brewing Company,micro
2135,Dry County Brewing Company,micro
2136,Eagle Creek Brewing Company,micro
2137,Etowah Brewery,planning
2138,EuroBevs,contract
2139,Eventide Brewing Co,micro
2140,Fannin Brewing,micro
2141,Firewater Brewing Company,planning
2142,From The Earth Brewing Company,brewpub
2143,Gate City Brewing Company,micro
2144,Georgia Beer Co,planning
2145,Glover Park Brewery,planning
2146,Good Word Brewing & Public House,brewpub
2147,Gordon Biersch Brewery Restaurant - Atlanta,brewpub
2148,GRITS Brewing,planning
2149,Grumpy Old Men Brewing,micro
2150,Hop Soul Brewery,planning
2151,Hopstix,brewpub
2152,Ironmonger Brewing,micro
2153,Ironwood Creek,planning
2154,Jailhouse Brewing Co,micro
2155,Jekyll Brewing,micro
2156,"Johnnie MacCracken's Celtic Firehouse Pub, Inc.",brewpub
2157,Left Nut Brewing Co,micro
2158,Line Creek Brewing,micro
2159,Macon Beer Company,proprietor
2160,Mandatory Fun Brewing,planning
2161,Max Lager's Wood Fired Grill & Brewery,brewpub
2162,MAZURT Brewing Company,contract
2163,MillerCoors Brewing Co - Albany,large
2164,Monday Night Brewing,micro
2165,Monday Night Brewing - Garage,micro
2166,Monkey Wrench Brewing Company LLC,planning
2167,Moon River Brewing Co,brewpub
2168,New Realm Brewing,brewpub
2169,Ocmulgee Brewpub,brewpub
2170,Oconee Brewing Company,micro
2171,O'Dempsey's Brewing Co,contract
2172,Omaha Brewing Company,micro
2173,Orpheus Brewing,micro
2174,Park Tavern Brewery,brewpub
2175,Perfect Fool Brewing Company,planning
2176,Phantom Horse Brewing,brewpub
2177,Piedmont Brewery and Kitchen,brewpub
2178,Pontoon Brewing Company,micro
2179,Porter Pizza & Brewery,brewpub
2180,Pretoria Fields Collective,micro
2181,Printer's Ale Manufacturing Co.,micro
2182,Red Brick Brewing Co / Atlanta Brewing Co,micro
2183,Red Hare Brewing Company,micro
2184,Reformation Brewery,micro
2185,Rick Tanner's Grille & Bar/Cherry Street Brewing Cooperative,brewpub
2186,Riverwatch Brewery,micro
2187,Rome City Brewing Co,brewpub
2188,Sabbath Brewing,planning
2189,Savannah Beer Company,planning
2190,Savannah River Brewing Company,micro
2191,Scofflaw Brewing Co,micro
2192,Second Self Brewing,micro
2193,Service Brewing Company,micro
2194,Slow Pour Brewing Company,micro
2195,Southbound Brewing Co,micro
2196,Southern Brewing Company,micro
2197,Southern Sky Brewing Co,micro
2198,Stats Brewpub,brewpub
2199,Steady Hand Beer Co.,planning
2200,Strawn Brewing Co,micro
2201,SweetWater Brewing Co,regional
2202,Tantrum Brewing Company,planning
2203,Terrapin Beer Co,large
2204,The Lost Druid,planning
2205,The Split Batch Brewery,planning
2206,The Village Corner,brewpub
2207,The Woodlands At SweetWater,micro
2208,The Wrecking Bar Brewpub,brewpub
2209,Three Taverns Craft Brewery,micro
2210,Torched Hop Brewing Company,brewpub
2211,Tucker Brewing Company,micro
2212,Twain's Brewpub & Billiards,brewpub
2213,Two Tides Brewing Company,micro
2214,Variant Brewing Company,micro
2215,Wild Heaven Craft Beers,micro
2216,Wild Leap Brewing Company,micro
2217,Yes Face Beer,contract
2218,Aloha Beer Co,brewpub
2219,Beer Lab HI,micro
2220,Big Island Brewhaus,brewpub
2221,Brewery In Planning - Honolulu HI,planning
2222,"Brewery In Planning - Kahului, HI",planning
2223,"Brewery in Planning - Kunia, HI",planning
2224,Broken Boundary Brewery,planning
2225,Gordon Biersch Brewery Restaurant - Honolulu,brewpub
2226,Hawaii Nui Brewing,micro
2227,Home of the Brave Brewing Company,brewpub
2228,Honolulu BeerWorks,brewpub
2229,Inu Island Ales,micro
2230,Kauai Beer Company,brewpub
2231,Kauai Island Brewery,brewpub
2232,Kohola Brewery,micro
2233,Kona Brewing Co,regional
2234,Lanikai Brewing Co,micro
2235,Maui Brewing Co - Production,regional
2236,"Maui Brewing Co, Brewpub",brewpub
2237,Ola Brew Co.,micro
2238,Stewbum,brewpub
2239,Taps and Apps,brewpub
2240,Waikiki Brewing Company,brewpub
2241,"Waikiki Brewing Company, Kaka'ako",micro
2242,10 Barrel Brewing Co,large
2243,2C Family Brewing Co.,planning
2244,Barbarian Brewing,micro
2245,Bear Island Brewing Company,micro
2246,Bella Brewing,micro
2247,Bertrams Salmon Valley Brewery,brewpub
2248,Boise Brewing,micro
2249,Bombastic Brewing,contract
2250,Brewery in Planning - Ketchum,planning
2251,Broken Horn Brewing Company,micro
2252,Clairvoyant Brewing,micro
2253,Cloud 9 Brewery,brewpub
2254,County Line Brewing,micro
2255,Crescent Brewery,micro
2256,Crooked Fence Brewing,micro
2257,Daft Badger Brewing,brewpub
2258,Downdraft Brewing Co,micro
2259,Edge Brewing Company,brewpub
2260,Grand Teton Brewing Co,micro
2261,Guns & Oil Brewery,micro
2262,Heaven's Gate Brewery,micro
2263,Highlands Hollow Brewhouse,brewpub
2264,Hunga Dunga Brewing,brewpub
2265,Idaho Brewing Co,micro
2266,Jim Dandy Brewing,micro
2267,Kootenai River Brewing Co,brewpub
2268,Laughing Dog Brewing,micro
2269,Lost Grove Brewing,micro
2270,Mad Bomber Brewing Company,micro
2271,Mad Swede Brewing,micro
2272,Magic Valley Brewing,brewpub
2273,Matchstick Brewing Company,planning
2274,McCall Brewing Co,brewpub
2275,MickDuff's Brewing Co,micro
2276,Moscow Brewing Company,micro
2277,Mother Earth Brew Co LLC,micro
2278,North Idaho Mountain Brew / City Limits Pub,brewpub
2279,Paragon Brewing,proprietor
2280,Payette Brewing Co,micro
2281,Portneuf Valley Brewing Co,brewpub
2282,Post Falls Brewing,micro
2283,Powderhaus Brewing,micro
2284,Radio Brewing Company,brewpub
2285,RAM Restaurant and Brewery - Boise,brewpub
2286,Rants And Raves Brewery,brewpub
2287,River Bend Brewing,micro
2288,River of No Return Brewing Co,brewpub
2289,Salmon River Brewery,brewpub
2290,Sawtooth Brewery,brewpub
2291,Selkirk Abbey Brewing,micro
2292,Shattuck Brewery,micro
2293,Snow Eagle Brewing,brewpub
2294,Sockeye Brewing Co,micro
2295,Sun Valley Brewing Co,brewpub
2296,Trickster's Brewing Company,micro
2297,Von Scheidt Brewing Co,brewpub
2298,Wallace Brewing Co,micro
2299,Warfield Distillery and Brewery,brewpub
2300,White Dog Brewing Boise,micro
2301,Wildlife Brewing,brewpub
2302,Wolftrack Brewing Company,micro
2303,Woodland Empire Ale Craft,micro
2304,1905 Brewing Company,micro
2305,350 Brewing Co,brewpub
2306,4204 Main Street Brewing Co,brewpub
2307,5 Rabbit Cerveceria Inc,planning
2308,5 Rabbit Cerveceria Inc,micro
2309,51st Ward Beer Company,contract
2310,5770 Brewery,micro
2311,"718BrewCafe, LLP",brewpub
2312,9th Hour Brewing Company LLC,planning
2313,Afterthought Brewing Company,micro
2314,Alarmist Brewing Co,micro
2315,Aleman Brewing,micro
2316,All Rise Brewing Co,brewpub
2317,Alter Brewing Company,micro
2318,"Ardent Spirits, Inc",planning
2319,Argus Brewery,micro
2320,Around the Bend Beer Co.,contract
2321,Arrowhead Ales Brewing Company,brewpub
2322,Ballast Point Brewing Company,planning
2323,Band Of Bohemia,brewpub
2324,BBGB Brewery And Hop Farm,brewpub
2325,Bearded Owl Brewing,brewpub
2326,Begyle Brewing,micro
2327,Belly Up Beer Company,micro
2328,Bent River Brewing Co,brewpub
2329,Bent River Brewing Co Production & Tasting Room,micro
2330,Big Muddy Brewing Co,micro
2331,Big Thorn Farm and Brewery,micro
2332,Birreria @ Eataly,brewpub
2333,Black Horizon Brewing Company,micro
2334,Blind Pig Brewery,brewpub
2335,Blue Cat Brew Pub,brewpub
2336,Blue Island Beer Co,micro
2337,Blue Nose Brewery,micro
2338,Border Town Pub,brewpub
2339,Brewery in Planning - Carbondale,planning
2340,Brewery In Planning - Chicago,planning
2341,Brewery In Planning - Cobden,planning
2342,Brewery in Planning - Downers Grove,planning
2343,Brewery In Planning - Itasca,micro
2344,Brewery in Planning - RIVERSIDE,planning
2345,"Brewery In Planning- Chicago, IL",planning
2346,BrickStone Brewery,micro
2347,BrickStone Brewery Brewpub,brewpub
2348,Buchanan Craft LLC,planning
2349,BuckleDown Brewing,micro
2350,Buffalo Creek Brewing,micro
2351,Burning Bush Brewery,planning
2352,Burnt City Brewing,micro
2353,Buzz Bomb Brewing Co,micro
2354,Byers Brewing Company,planning
2355,Carlyle Brewing Co,brewpub
2356,Cary Ale House,brewpub
2357,Chicago Beer Company,contract
2358,Church Street Brewing Company,micro
2359,Corridor Brewery & Provisions,brewpub
2360,Cruz Blanca Brewery,brewpub
2361,Crystal Lake Brewing Co.,micro
2362,Decatur Brew Works,micro
2363,DeNovo Beverage of Monmouth,micro
2364,DESTIHL - Champaign,brewpub
2365,DESTIHL - Normal,brewpub
2366,DESTIHL Brewery,micro
2367,Door 4 Brewing Co,micro
2368,Dovetail Brewery,micro
2369,Dry City Brew Works,micro
2370,Dryhop Brewers,micro
2371,Elder Brewing Co.,micro
2372,Elmhurst Brewing Company,brewpub
2373,Emmett's Brewing Co - Downers Grove,brewpub
2374,Emmett's Brewing Co - Palatine,brewpub
2375,Emmett's Brewing Co - West Dundee,brewpub
2376,Emmett's Brewing Co - Wheaton,brewpub
2377,Empirical Brewery,micro
2378,Engrained Brewing Co,brewpub
2379,Eris Brewery And Cider House,brewpub
2380,"Evil Horse Brewing Company, LLC",micro
2381,Excel Brewing Co,micro
2382,Exit Strategy Brewing Company,brewpub
2383,Finch Beer Company,micro
2384,Flapjack Brewery,brewpub
2385,Flesk Brewing,micro
2386,Flossmoor Station Brewing Co,brewpub
2387,Forbidden Root Restaurant & Brewery,micro
2388,Forge Brewhouse,brewpub
2389,Galena Brewing Co,brewpub
2390,Generations Brewing Company,micro
2391,Geneseo Brewing Company,brewpub
2392,Gino's Brewing Company,brewpub
2393,"Golden Fox Brewing, LLC",micro
2394,Goose Island Beer Co / Fulton St,large
2395,Goose Island Brewpub,large
2396,Gordon Biersch Brewery Restaurant - Bolingbrook,brewpub
2397,Grafton Winery & Brewhaus,micro
2398,Granite City Food & Brewery,brewpub
2399,Granite City Food & Brewery (#19),brewpub
2400,Granite City Food & Brewery (#21),brewpub
2401,Granite City Food & Brewery (#22),brewpub
2402,Granite City Food & Brewery (#30),brewpub
2403,Granite City Food & Brewery (#31),brewpub
2404,Great Central Brewing Company,micro
2405,Greenstar Brewing At Uncommon Ground,brewpub
2406,HailStorm Brewing Company,micro
2407,"Hairy Cow Brewing Co, LLC",planning
2408,Half Acre Beer Co,regional
2409,Half Day Brewing Company,brewpub
2410,Hamburger Mary's/Andersonville Brewing Company,brewpub
2411,Hand of Fate Brewing Co,micro
2412,Haymarket Pub and Brewery,brewpub
2413,Hickory Creek Brewing Company LLC,micro
2414,Hofbrauhaus Chicago,brewpub
2415,Hofbrauhaus St. Louis-Belleville,brewpub
2416,Hop Butcher For the World,micro
2417,Hopewell Brewing Co,micro
2418,Hopskeller Brewing Company,brewpub
2419,Hopvine Brewing Company,brewpub
2420,Horse Thief Hollow Brewery,brewpub
2421,ILL STYLEZ BREWING,planning
2422,Illuminated Brew Works,micro
2423,Imperial Oak Brewing Co,micro
2424,Industry Brewing,brewpub
2425,Iron Spike Brewing Company,brewpub
2426,Itasca Brewing Company Inc,micro
2427,John S. Rhodell Brewery,micro
2428,JT Walker's/Champaign County Brewing Co,brewpub
